Total_visits,Customer,Cumulative ,Cumulative %,,,,,Total_visits,Customer,Cumulative ,Cumulative %
1,19082,35119,100,,,,,1,19082,35119,100
2,7270,16037,45.66473988,,,,,2,7270,16037,45.66473988
3,3265,8767,24.96369487,,,,,3,3265,8767,24.96369487
4,2381,5502,15.66673311,,,,,4,2381,5502,15.66673311
5,812,3121,8.886927304,,,,,5,812,3121,8.886927304
6,781,2309,6.574788576,,,,,6,781,2309,6.574788576
7,185,1528,4.350921154,,,,,7,185,1528,4.350921154
8,429,1343,3.824140778,,,,,8,429,1343,3.824140778
9,99,914,2.6025798,,,,,9,99,914,2.6025798
10,230,815,2.320681113,,,,,9+,815,815,2.320681113
11,18,585,1.665764971,,,,,,,,
12,176,567,1.614510664,,,,,,,,
13,3,391,1.113357442,,,,,,,,
14,75,388,1.104815057,,,,,,,,
15,35,313,0.891255446,,,,,,,,
16,42,278,0.791594294,,,,,,,,
17,1,236,0.672000911,,,,,,,,
18,71,235,0.66915345,,,,,,,,
20,24,164,0.466983684,,,,,,,,
21,16,140,0.398644608,,,,,,,,
22,7,124,0.353085225,,,,,,,,
24,31,117,0.333152994,,,,,,,,
25,7,86,0.244881688,,,,,,,,
26,1,79,0.224949458,,,,,,,,
27,11,78,0.222101996,,,,,,,,
28,11,67,0.19077992,,,,,,,,
30,9,56,0.159457843,,,,,,,,
32,6,47,0.13383069,,,,,,,,
33,3,41,0.116745921,,,,,,,,
35,2,38,0.108203537,,,,,,,,
36,8,36,0.102508614,,,,,,,,
38,1,28,0.079728922,,,,,,,,
39,1,27,0.07688146,,,,,,,,
40,6,26,0.074033999,,,,,,,,
42,2,20,0.05694923,,,,,,,,
44,1,18,0.051254307,,,,,,,,
48,1,17,0.048406845,,,,,,,,
55,3,16,0.045559384,,,,,,,,
56,1,13,0.037016999,,,,,,,,
57,1,12,0.034169538,,,,,,,,
60,2,11,0.031322076,,,,,,,,
66,1,9,0.025627153,,,,,,,,
72,2,8,0.022779692,,,,,,,,
81,2,6,0.017084769,,,,,,,,
110,1,4,0.011389846,,,,,,,,
130,1,3,0.008542384,,,,,,,,
484,1,2,0.005694923,,,,,,,,
1533,1,1,0.002847461,,,,,,,,
,,,0,,,,,,,,
,,,0,,,,,,,,
